계약일,단지명,전용면적(㎡),거래금액(만원),시군구
2022-01-28,한화 포레나 포항,84.8901,"36,300",경상북도 포항북구 흥해읍 이인리
2022-01-28,한화 포레나 포항,84.8901,"36,300",경상북도 포항북구 흥해읍 이인리
2022-01-29,포항자이 애서턴,84.9253,"50,910",경상북도 포항북구 학잠동
2022-01-30,한화 포레나 포항,84.8901,"35,800",경상북도 포항북구 흥해읍 이인리
2022-02-02,포항자이 애서턴,84.9253,"51,720",경상북도 포항북구 학잠동
2022-02-02,KTX포항역 삼구 트리니엔,84.9727,"33,115",경상북도 포항북구 흥해읍 이인리
2022-02-03,포항자이 애서턴,101.8942,"63,970",경상북도 포항북구 학잠동
2022-02-03,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-03,포항자이 애서턴,84.9253,"50,760",경상북도 포항북구 학잠동
2022-02-03,흥해 서희스타힐스 더 캐슬,84.9477,"27,780",경상북도 포항북구 흥해읍 옥성리
2022-02-03,KTX포항역 삼구 트리니엔,84.9947,"32,990",경상북도 포항북구 흥해읍 이인리
2022-02-03,한화 포레나 포항,109.4477,"50,210",경상북도 포항북구 흥해읍 이인리
2022-02-04,포항자이 애서턴,101.8942,"63,100",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,320",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,720",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9409,"51,250",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"64,270",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"63,120",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,720",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"64,270",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"63,020",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,820",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.9744,"65,000",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"64,170",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,060",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"64,370",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"50,050",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,125.9389,"78,640",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9146,"52,060",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"50,960",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9146,"51,200",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"63,020",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"50,960",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"63,320",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"50,960",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9409,"51,100",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,125.9389,"78,490",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.9744,"65,000",경상북도 포항북구 학잠동
2022-02-04,포항자이 애서턴,101.8942,"64,070",경상북도 포항북구 학잠동
2022-02-04,한화 포레나 포항,84.8901,"35,600",경상북도 포항북구 흥해읍 이인리
2022-02-05,포항자이 애서턴,84.9253,"47,570",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9146,"51,960",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.8942,"63,970",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"51,820",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,125.9389,"78,440",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"50,960",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.8942,"63,020",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9409,"51,350",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.9526,"67,300",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"49,340",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.8942,"63,970",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.8942,"62,080",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,125.9389,"77,290",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.8942,"63,970",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.8942,"61,140",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9146,"52,160",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"50,050",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.9361,"64,190",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,101.9361,"63,990",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-05,포항자이 애서턴,84.9146,"51,440",경상북도 포항북구 학잠동
