계약일,단지명,전용면적,거래금액(만원),층,시군구
2022-03-24,힐스테이트포항,74.82,27025,5,경상북도 포항남구 오천읍 원리
2022-03-25,힐스테이트포항,84.88,28415,2,경상북도 포항남구 오천읍 원리
2022-03-30,힐스테이트포항,84.88,31261,16,경상북도 포항남구 오천읍 원리
2022-04-04,힐스테이트포항,59.98,22721,6,경상북도 포항남구 오천읍 원리
2022-04-06,힐스테이트포항,74.82,26031,5,경상북도 포항남구 오천읍 원리
2022-04-06,힐스테이트포항,74.82,25187,2,경상북도 포항남구 오천읍 원리
2022-04-08,힐스테이트포항,74.82,27411,11,경상북도 포항남구 오천읍 원리
2022-04-08,힐스테이트포항,84.88,29099,4,경상북도 포항남구 오천읍 원리
2022-04-09,힐스테이트포항,74.82,26601,7,경상북도 포항남구 오천읍 원리
2022-04-10,힐스테이트포항,74.82,26657,9,경상북도 포항남구 오천읍 원리
2022-04-13,힐스테이트포항,74.82,27291,15,경상북도 포항남구 오천읍 원리
2022-04-15,힐스테이트포항,59.98,22221,7,경상북도 포항남구 오천읍 원리
2022-04-15,힐스테이트포항,74.82,26140,5,경상북도 포항남구 오천읍 원리
2022-04-29,힐스테이트포항,59.98,22721,6,경상북도 포항남구 오천읍 원리
2022-05-02,힐스테이트포항,84.88,30822,16,경상북도 포항남구 오천읍 원리
2022-05-04,힐스테이트포항,84.88,30872,15,경상북도 포항남구 오천읍 원리
2022-05-05,힐스테이트포항,74.82,28348,15,경상북도 포항남구 오천읍 원리
2022-05-05,힐스테이트포항,74.82,26992,17,경상북도 포항남구 오천읍 원리
2022-05-06,힐스테이트포항,59.98,21547,4,경상북도 포항남구 오천읍 원리
2022-05-16,힐스테이트포항,74.82,26061,3,경상북도 포항남구 오천읍 원리
2022-05-16,힐스테이트포항,84.88,30572,17,경상북도 포항남구 오천읍 원리
2022-05-16,힐스테이트포항,74.82,26051,2,경상북도 포항남구 오천읍 원리
2022-05-23,힐스테이트포항,74.82,27391,16,경상북도 포항남구 오천읍 원리
2022-05-25,힐스테이트포항,84.88,29265,2,경상북도 포항남구 오천읍 원리
2022-05-28,힐스테이트포항,74.82,25480,3,경상북도 포항남구 오천읍 원리
2022-06-02,힐스테이트포항,59.98,23239,15,경상북도 포항남구 오천읍 원리
2022-06-04,힐스테이트포항,59.98,23595,6,경상북도 포항남구 오천읍 원리
2022-06-07,힐스테이트포항,59.98,22637,15,경상북도 포항남구 오천읍 원리
2022-06-07,힐스테이트포항,59.98,20419,11,경상북도 포항남구 오천읍 원리
2022-06-08,힐스테이트포항,74.82,27091,17,경상북도 포항남구 오천읍 원리
2022-06-10,힐스테이트포항,74.82,26757,7,경상북도 포항남구 오천읍 원리
2022-06-14,힐스테이트포항,74.96,27447,7,경상북도 포항남구 오천읍 원리
2022-06-16,힐스테이트포항,74.82,27111,11,경상북도 포항남구 오천읍 원리
2022-06-17,힐스테이트포항,74.66,27041,13,경상북도 포항남구 오천읍 원리
2022-06-17,힐스테이트포항,84.88,30432,5,경상북도 포항남구 오천읍 원리
2022-06-20,힐스테이트포항,59.98,21453,3,경상북도 포항남구 오천읍 원리
2022-06-21,힐스테이트포항,84.88,30769,12,경상북도 포항남구 오천읍 원리
2022-06-21,힐스테이트포항,59.98,22869,14,경상북도 포항남구 오천읍 원리
2022-06-22,힐스테이트포항,84.96,28739,7,경상북도 포항남구 오천읍 원리
2022-06-22,힐스테이트포항,74.96,27710,15,경상북도 포항남구 오천읍 원리
2022-06-27,힐스테이트포항,84.88,32068,17,경상북도 포항남구 오천읍 원리
2022-06-28,힐스테이트포항,84.88,30162,5,경상북도 포항남구 오천읍 원리
2022-06-29,힐스테이트포항,84.88,31905,16,경상북도 포항남구 오천읍 원리
2022-06-29,힐스테이트포항,74.96,28810,15,경상북도 포항남구 오천읍 원리
2022-06-30,힐스테이트포항,74.66,27316,13,경상북도 포항남구 오천읍 원리
2022-07-07,힐스테이트포항,59.98,23525,10,경상북도 포항남구 오천읍 원리
2022-07-08,힐스테이트포항,74.82,25460,3,경상북도 포항남구 오천읍 원리
2022-07-09,힐스테이트포항,74.82,24720,1,경상북도 포항남구 오천읍 원리
2022-07-09,힐스테이트포항,59.98,23463,14,경상북도 포항남구 오천읍 원리
2022-07-11,힐스테이트포항,84.88,29885,2,경상북도 포항남구 오천읍 원리
2022-07-12,힐스테이트포항,74.82,25921,4,경상북도 포항남구 오천읍 원리
2022-07-15,힐스테이트포항,84.88,28915,2,경상북도 포항남구 오천읍 원리
2022-07-15,힐스테이트포항,74.82,26457,9,경상북도 포항남구 오천읍 원리
2022-07-15,힐스테이트포항,74.82,25921,4,경상북도 포항남구 오천읍 원리
2022-07-18,힐스테이트포항,74.66,26772,16,경상북도 포항남구 오천읍 원리
2022-07-18,힐스테이트포항,59.98,22968,8,경상북도 포항남구 오천읍 원리
2022-07-19,힐스테이트포항,74.82,27415,6,경상북도 포항남구 오천읍 원리
2022-07-23,힐스테이트포항,74.82,27021,9,경상북도 포항남구 오천읍 원리
2022-07-26,힐스테이트포항,84.88,30333,13,경상북도 포항남구 오천읍 원리
2022-08-09,힐스테이트포항,74.96,27710,15,경상북도 포항남구 오천읍 원리
2022-08-10,힐스테이트포항,84.88,30500,8,경상북도 포항남구 오천읍 원리
2022-08-13,힐스테이트포항,74.82,27816,17,경상북도 포항남구 오천읍 원리
2022-08-13,힐스테이트포항,59.98,22589,11,경상북도 포항남구 오천읍 원리
2022-08-18,힐스테이트포항,74.96,28810,15,경상북도 포항남구 오천읍 원리
2022-08-24,힐스테이트포항,74.66,25199,4,경상북도 포항남구 오천읍 원리
2022-08-24,힐스테이트포항,84.88,29507,3,경상북도 포항남구 오천읍 원리
2022-08-25,힐스테이트포항,74.82,27672,16,경상북도 포항남구 오천읍 원리
2022-08-25,힐스테이트포항,74.82,27411,10,경상북도 포항남구 오천읍 원리
2022-08-25,힐스테이트포항,74.82,27261,10,경상북도 포항남구 오천읍 원리
2022-08-30,힐스테이트포항,74.82,27521,8,경상북도 포항남구 오천읍 원리
2022-08-31,힐스테이트포항,84.88,30401,16,경상북도 포항남구 오천읍 원리
2022-09-05,힐스테이트포항,84.88,29407,3,경상북도 포항남구 오천읍 원리
2022-09-05,힐스테이트포항,59.98,21373,4,경상북도 포항남구 오천읍 원리
2022-09-19,힐스테이트포항,74.82,26615,6,경상북도 포항남구 오천읍 원리
2022-09-23,힐스테이트포항,74.82,26279,1,경상북도 포항남구 오천읍 원리
2022-09-26,힐스테이트포항,74.82,26521,6,경상북도 포항남구 오천읍 원리
2022-09-26,힐스테이트포항,59.98,22721,6,경상북도 포항남구 오천읍 원리
2022-09-26,힐스테이트포항,74.82,26772,16,경상북도 포항남구 오천읍 원리
2022-09-27,힐스테이트포항,74.82,25110,3,경상북도 포항남구 오천읍 원리
2022-10-04,힐스테이트포항,74.82,26091,16,경상북도 포항남구 오천읍 원리
2022-10-04,힐스테이트포항,84.88,30572,14,경상북도 포항남구 오천읍 원리
2022-10-05,힐스테이트포항,74.82,26225,5,경상북도 포항남구 오천읍 원리
2022-10-19,힐스테이트포항,74.82,27472,17,경상북도 포항남구 오천읍 원리
2022-10-21,힐스테이트포항,59.98,21313,4,경상북도 포항남구 오천읍 원리
2022-10-24,힐스테이트포항,74.82,26771,6,경상북도 포항남구 오천읍 원리
2022-10-25,힐스테이트포항,74.82,23050,2,경상북도 포항남구 오천읍 원리
2022-10-26,힐스테이트포항,74.82,25371,4,경상북도 포항남구 오천읍 원리
2022-11-24,힐스테이트포항,59.98,22241,16,경상북도 포항남구 오천읍 원리
2022-11-29,힐스테이트포항,59.98,21036,3,경상북도 포항남구 오천읍 원리
2022-12-05,힐스테이트포항,84.88,31616,14,경상북도 포항남구 오천읍 원리
2022-12-07,힐스테이트포항,74.82,22610,3,경상북도 포항남구 오천읍 원리
2022-12-08,힐스테이트포항,74.82,23921,12,경상북도 포항남구 오천읍 원리
2022-12-09,힐스테이트포항,74.82,24631,5,경상북도 포항남구 오천읍 원리
2022-12-09,힐스테이트포항,74.82,26972,16,경상북도 포항남구 오천읍 원리
2023-01-17,힐스테이트포항,84.96,30006,12,경상북도 포항남구 오천읍 원리
2023-01-17,힐스테이트포항,59.98,21034,2,경상북도 포항남구 오천읍 원리
2023-01-19,힐스테이트포항,59.98,21725,8,경상북도 포항남구 오천읍 원리
2023-01-20,힐스테이트포항,84.88,28999,4,경상북도 포항남구 오천읍 원리
2023-01-24,힐스테이트포항,74.81,26494,6,경상북도 포항남구 오천읍 원리
2023-01-11,힐스테이트포항,84.88,31931,14,경상북도 포항남구 오천읍 원리
2023-01-31,힐스테이트포항,59.98,19434,2,경상북도 포항남구 오천읍 원리
2023-02-01,힐스테이트포항,74.67,23538,6,경상북도 포항남구 오천읍 원리
2023-02-01,힐스테이트포항,74.82,25604,8,경상북도 포항남구 오천읍 원리
2023-02-01,힐스테이트포항,59.98,20611,5,경상북도 포항남구 오천읍 원리
2023-02-01,힐스테이트포항,84.88,28769,1,경상북도 포항남구 오천읍 원리
2023-02-01,힐스테이트포항,74.82,25411,12,경상북도 포항남구 오천읍 원리
2023-02-01,힐스테이트포항,74.82,25771,4,경상북도 포항남구 오천읍 원리
2023-02-13,힐스테이트포항,74.66,26477,8,경상북도 포항남구 오천읍 원리
2023-02-14,힐스테이트포항,74.66,26615,6,경상북도 포항남구 오천읍 원리
2023-02-14,힐스테이트포항,84.88,30630,7,경상북도 포항남구 오천읍 원리
2023-02-15,힐스테이트포항,59.98,20025,1,경상북도 포항남구 오천읍 원리
2023-02-23,힐스테이트포항,84.88,30833,10,경상북도 포항남구 오천읍 원리
2023-02-27,힐스테이트포항,74.82,24450,2,경상북도 포항남구 오천읍 원리
2023-02-27,힐스테이트포항,74.82,25110,3,경상북도 포항남구 오천읍 원리
2023-03-01,힐스테이트포항,59.98,19610,9,경상북도 포항남구 오천읍 원리
2023-03-01,힐스테이트포항,84.88,25769,1,경상북도 포항남구 오천읍 원리
2023-03-01,힐스테이트포항,84.88,30333,10,경상북도 포항남구 오천읍 원리
2023-03-02,힐스테이트포항,74.82,24571,4,경상북도 포항남구 오천읍 원리
2023-03-03,힐스테이트포항,74.96,27724,14,경상북도 포항남구 오천읍 원리
2023-03-07,힐스테이트포항,59.98,22020,10,경상북도 포항남구 오천읍 원리
2023-03-07,힐스테이트포항,84.88,30961,17,경상북도 포항남구 오천읍 원리
2023-03-07,힐스테이트포항,59.98,22823,14,경상북도 포항남구 오천읍 원리
2023-03-07,힐스테이트포항,59.98,21749,10,경상북도 포항남구 오천읍 원리
2023-03-10,힐스테이트포항,74.82,25127,3,경상북도 포항남구 오천읍 원리
2023-03-12,힐스테이트포항,74.66,26946,17,경상북도 포항남구 오천읍 원리
2023-03-15,힐스테이트포항,74.66,25118,1,경상북도 포항남구 오천읍 원리
2023-03-20,힐스테이트포항,74.66,24720,1,경상북도 포항남구 오천읍 원리
2023-03-21,힐스테이트포항,74.66,26411,12,경상북도 포항남구 오천읍 원리
2023-03-21,힐스테이트포항,74.66,25121,7,경상북도 포항남구 오천읍 원리
2023-03-22,힐스테이트포항,84.88,29630,9,경상북도 포항남구 오천읍 원리
2023-03-30,힐스테이트포항,84.88,32072,14,경상북도 포항남구 오천읍 원리
2023-04-03,힐스테이트포항,74.82,26411,11,경상북도 포항남구 오천읍 원리
2023-04-04,힐스테이트포항,84.96,28841,6,경상북도 포항남구 오천읍 원리
2023-04-20,힐스테이트포항,74.82,27094,7,경상북도 포항남구 오천읍 원리
2023-04-25,힐스테이트포항,74.96,25452,2,경상북도 포항남구 오천읍 원리
2023-05-01,힐스테이트포항,84.88,28999,4,경상북도 포항남구 오천읍 원리
2023-05-02,힐스테이트포항,74.82,24010,3,경상북도 포항남구 오천읍 원리
2023-05-03,힐스테이트포항,74.82,25863,5,경상북도 포항남구 오천읍 원리
2023-05-04,힐스테이트포항,74.82,27966,14,경상북도 포항남구 오천읍 원리
2023-05-04,힐스테이트포항,84.88,31161,16,경상북도 포항남구 오천읍 원리
2023-05-04,힐스테이트포항,84.88,29730,9,경상북도 포항남구 오천읍 원리
2022-07-07,삼구트리니엔 시그니처,84.99,48930,25,경상북도 포항북구 득량동
2022-07-11,삼구트리니엔 시그니처,85.00,48910,21,경상북도 포항북구 득량동
2022-07-18,삼구트리니엔 시그니처,84.99,48910,19,경상북도 포항북구 득량동
2022-07-19,삼구트리니엔 시그니처,85.00,48930,23,경상북도 포항북구 득량동
2022-07-19,삼구트리니엔 시그니처,85.00,48930,15,경상북도 포항북구 득량동
2022-07-20,삼구트리니엔 시그니처,85.00,48830,29,경상북도 포항북구 득량동
2022-07-20,삼구트리니엔 시그니처,85.00,48880,20,경상북도 포항북구 득량동
